"No.","Time","Source","Destination","Protocol","Length","RSSI"
"1","0.000000","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","178","-36 dBm"
"2","2.177714","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-42 dBm"
"3","4.795298","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-41 dBm"
"4","7.151376","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-42 dBm"
"5","9.793945","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-42 dBm"
"6","12.466315","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-41 dBm"
"7","19.576256","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-43 dBm"
"8","22.192465","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-41 dBm"
"9","26.681093","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-44 dBm"
"10","29.101774","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-45 dBm"
"11","30.312420","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-44 dBm"
"12","33.921846","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-44 dBm"
"13","37.551200","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-39 dBm"
"14","39.510462","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-40 dBm"
"15","39.596406","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-38 dBm"
"16","39.641492","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-43 dBm"
"17","39.727125","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-34 dBm"
"18","39.772496","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-34 dBm"
"19","39.856792","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-35 dBm"
"20","39.901844","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-38 dBm"
