"No.","Time","Source","Destination","Protocol","Length","RSSI"
"1","0.000000","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-45 dBm"
"2","0.003983","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","178","-44 dBm"
"3","2.056406","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-43 dBm"
"4","2.470716","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-43 dBm"
"5","7.059428","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-41 dBm"
"6","7.816998","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-38 dBm"
"7","7.861449","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-40 dBm"
"8","7.945259","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-36 dBm"
"9","7.990458","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-36 dBm"
"10","8.076317","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-35 dBm"
"11","8.125098","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-40 dBm"
"12","8.210768","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-35 dBm"
"13","8.256043","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-36 dBm"
"14","8.342620","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-36 dBm"
"15","8.428093","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-38 dBm"
"16","8.514300","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-35 dBm"
"17","8.659845","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-37 dBm"
"18","8.711826","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-38 dBm"
"19","8.802709","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-37 dBm"
"20","8.846500","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-37 dBm"
